CustNum,FirstName,LastName,City,State_Region,Country
CN000001,Eric,Naicker,Chula Vista,California,United States
CN000003,Liam,Gruber,Wien,Wien,Austria
CN000006,Cosmina,Holliday,West Seneca,New York,United States
CN000011,Sara,Huber,Wien,Wien,Austria
CN000014,Thomas,Müller,Munich,Bayern,Germany
CN000032,Bala,Estrada,Huntsville,Alabama,United States
CN000035,Aleksandrs,Foster,Grand Rapids,Michigan,United States
CN000039,Sara,Schmidt,Merzig,Saarland,Germany
CN000041,Nicole,Messina ,Roma,Lazio,Italy
CN000052,Ratan,Castillo,Johnstown,New York,United States
CN000053,Shi,Wintle,Kankakee,Illinois,United States
CN000059,Miriam,Schneider,Karlsruhe,Baden-Württemberg,Germany
CN000068,Gunnar,Ghatak,New York,New York,United States
CN000071,Jackson,Helms,Fresno,California,United States
CN000075,Isabella,Bauer,Moedling,Niederösterreich,Austria
CN000079,Quin,Donnelly,Washington,District of Columbia,United States
CN000080,Madhu,Nishad,Des Moines,Iowa,United States
CN000081,Alena,Young,Prairie du Chien,Wisconsin,United States
CN000085,Surendra,Stavinohova,Pasadena,Texas,United States
CN000089,Celica,Lovric,Lompoc,California,United States
CN000091,Helen,Knacke,Berlin,Berlin,Germany
CN000097,Antonia,Wagner,Wien,Wien,Austria
CN000098,Shyam,Bhattacharya,Phoenix,Arizona,United States
CN000099,Luis,Allen ,Tulsa,Oklahoma,United States
CN000103,Johanna,Lopez,Phoenix,Arizona,United States
CN000105,Flora,Alemanno,Siena,Toscana,Italy
CN000107,Libuse,Chirila,Sacramento,California,United States
CN000108,Christian,Müller,Wiener Neustadt,Niederösterreich,Austria
CN000109,Harsha,Fierro,Monroe,Michigan,United States
CN000114,Agrita,Drdla,San Francisco,California,United States
CN000117,Fraco,Murphy,Huntington,New York,United States
CN000119,Liia,Logan,Brooklyn,New York,United States
CN000121,Santiago,Pornpipatpong,Dodge City,Kansas,United States
CN000122,Knut,Perry,Ontario,California,United States
CN000124,Samuel,Pichler,Wien,Wien,Austria
CN000128,Kwanjai,Menon,Atlanta,Georgia,United States
CN000129,Fabia,Giordano,Cagliari,Sardinia,Italy
CN000130,Suparna,Celmina,San Bernardino,California,United States
CN000138,Francisca,Orav,Columbus,Ohio,United States
CN000139,Risto,Pelland,Toledo,Ohio,United States
CN000153,Jayanta,Bite,Knoxville,Tennessee,United States
CN000156,Leila,Anderson,Springfield,Missouri,United States
CN000158,Léonie,Hermans ,Charleroi,Hainaut,Belgium
CN000174,Crina,Samarawickrama,Portland,Oregon,United States
CN000175,Sercan,Babu,Pawhuska,Oklahoma,United States
CN000180,Jack,Vitols,Miami,Florida,United States
CN000182,Christa,Steiner,Wien,Wien,Austria
CN000185,Jana,Kantee,Coos Bay,Oregon,United States
CN000186,Bhaavan,Singh,Tucson,Arizona,United States
CN000187,Aakriti,Jee,Knoxville,Tennessee,United States
CN000188,Felix,Mayer,Wien,Wien,Austria
CN000189,Yolanda,Martinez,San Jose,California,United States
CN000191,Emma,Moser,Wien,Wien,Austria
CN000199,Vera,Devraj,Paducah,Kentucky,United States
CN000200,Cong,Villanueva,Modesto,California,United States
CN000202,Ida,Makowska ,Poznań,Wielkopolskie,Poland
CN000211,Lapaccio,Giannelli,Roma,Lazio,Italy
CN000215,Dominic,Cooper,Buffalo,New York,United States
CN000216,Abel,Johnson,Scottsdale,Arizona,United States
CN000217,Matthias,Roseren,Paris,Île-de-France,France
CN000220,Anil,Thota,Bellefontaine,Ohio,United States
CN000232,Jonathan,Fischer,Erlangen,Bayern,Germany
CN000238,Luis,Weber,Dresden,Sachsen,Germany
CN000240,Pavel,Vesik,Mount Vernon,Ohio,United States
CN000253,Juan,Ortíz,Barnstable,Massachusetts,United States
CN000256,Rodrigo,Margheim,Portland,Oregon,United States
CN000261,Camille,Carrillo,Ashland,Oregon,United States
CN000267,Biju,Esteves,John Day,Oregon,United States
CN000275,Lisa,Schäfer,Passau,Bayern,Germany
CN000276,Valentine,Roussel,Rouen,Normandy,France
CN000279,Marija,Garcia,New York,New York,United States
CN000282,Isabella,Donati ,Tivoli,Lazio,Italy
CN000290,Gabriel,Boucard,Paris,Île-de-France,France
CN000298,Durdanah,Michaels,Birmingham,Alabama,United States
CN000300,Clark,Anderson,Buffalo,New York,United States
CN000309,Emilie,Gonzales,Manhattan,New York,United States
CN000318,Malorie,Javan,Aurora,Colorado,United States
CN000320,Kristiina,Roy,Knoxville,Tennessee,United States
CN000325,Alvin,Prabhupada,Warren,Michigan,United States
CN000327,Sophie,Hofer,Wien,Wien,Austria
CN000334,Sabine,Joshi,Falmouth,Massachusetts,United States
CN000338,Daakshaayaani,Martin,Corpus Christi,Texas,United States
CN000342,Ebru,Mokkapati,San Francisco,California,United States
CN000345,Bhagavaan,Korjus,Madison,New Jersey,United States
CN000346,Caterina,Vega,Staten Island,New York,United States
CN000349,Daakshaayaani,Vodlan,San Diego,California,United States
CN000351,Maria,Ostrowska ,Szczecin,Zachodniopomorskie,Poland
CN000352,Anna,Heo,Saint Paul,Minnesota,United States
CN000362,Satish,Olofsson,New Madrid,Missouri,United States
CN000364,Sara,Meyer,Templin,Brandenburg,Germany
CN000367,Bart,Fisher,Oklahoma City,Oklahoma,United States
CN000372,Clarissa,Aluri,Seattle,Washington,United States
CN000374,Bimla,Martinez,Oakland,California,United States
CN000380,Shah,Groesen,Hyannis,Massachusetts,United States
CN000384,Darnetta,James,Austin,Texas,United States
CN000393,Nina,Berger,Wien,Wien,Austria
CN000394,Marcela,Raina,Ontario,Oregon,United States
CN000398,Amarasimha,Suh,Abbeville,Louisiana,United States
CN000399,Lana,Young,Chicago,Illinois,United States
CN000400,Teddy ,Sanchez,St. Petersburg,Florida,United States
CN000413,Paula,Leitner,Enns,Oberösterreich,Austria
CN000414,Jakub,Majumdar,Seattle,Washington,United States
CN000416,Mikhail,Zimmerman,Fremont,California,United States
CN000428,Bijoya,Luthra,Riverside,California,United States
CN000430,Chandni,Burch,Toronto,Ontario,Canada
CN000431,Jay,Nair,Fontana,California,United States
CN000432,Jasna,Salmre,Mesa,Arizona,United States
CN000435,Laura,Taylor,Charlotte,North Carolina,United States
CN000436,Sara,Fuchs,Tamsweg,Salzburg,Austria
CN000437,Abel,Chakraborty,Cincinnati,Ohio,United States
CN000441,In-Su,Kohout,San Francisco,California,United States
CN000448,Darshana,Hamilton,South San Francisco,California,United States
CN000453,Katerina,Bose,Indianapolis,Indiana,United States
CN000460,Selina,Eder,Wien,Wien,Austria
CN000461,Elisabeth,Kuehn ,Berlin,Berlin,Germany
CN000464,Simon,Fischer,Wien,Wien,Austria
CN000465,Damiana,Amitrano,Syracuse,Sicily,Italy
CN000466,Hana,Michnova,Huntington,New York,United States
CN000469,Daniel,Kuppa,Springfield,Missouri,United States
CN000472,Ernestine,Miller,Charlotte,North Carolina,United States
CN000477,Philip,Evans,Plano,Texas,United States
CN000483,Marie,Munteanu,Chicago,Illinois,United States
CN000497,Johanna,Wagner,Berlin,Berlin,Germany
CN000502,Leyla,Lee,Tacoma,Washington,United States
CN000504,Walter,Simpson ,San Antonio,Texas,United States
CN000510,Christa,Schmid,Salzburg,Salzburg,Austria
CN000519,Miriam,Martin,Boston,Massachusetts,United States
CN000523,Jitka,Wilson,Milwaukee,Wisconsin,United States
CN000524,Emely,Weber,Wien,Wien,Austria
CN000527,Edmee,Hill,Atlanta,Georgia,United States
CN000532,Magdalena,Walkky,Milford,Connecticut,United States
CN000533,Maryann,Rothkugel,Sag Harbor,New York,United States
CN000535,Radha,ozden,Ontario,California,United States
CN000538,Anindya,Kask,Cullman,Alabama,United States
CN000540,Cate,Warner,Edmonton,Alberta,Canada
